Target, Prediction
210.0000,170.9566
162.5000,112.3022
133.0000,106.0692
170.5000,82.5368
176.0000,216.6858
185.5000,185.0883
100.5000,95.8045
221.5000,211.7045
150.0000,180.6911
120.2000,136.1546
105.0000,135.7179
139.0000,150.5633
249.5000,158.9577
119.0000,183.5616
44.0000,115.0645
58.8000,124.3123
257.0000,219.1105
89.0000,137.3623
145.0000,164.3295
162.5000,107.9674
115.0000,168.6989
204.8000,130.8362
78.5000,114.6393
215.5000,162.5862
78.5000,131.0754
66.0000,76.8982
171.0000,173.2501
135.3000,136.1546
146.5000,236.3492
222.5000,172.6164
295.0000,149.9600
280.0000,123.2195
180.5000,211.8766
165.0000,135.5570
241.0000,178.1436
216.0000,169.4996
181.0000,164.1439
101.0000,91.8290
155.5000,153.6030
147.0000,122.4085
140.5000,178.4858
80.0000,156.1775
27.5000,109.1804
43.0000,128.7872
74.0000,158.4465
183.5000,82.4373
72.5000,126.2387
140.5000,160.2187
304.0000,261.4128
277.0000,142.1176
279.0000,249.3764
217.0000,233.3565
137.5000,151.0193
107.0000,143.4379
151.0000,184.2778
114.0000,195.8625
50.5000,111.7206
162.0000,187.8112
156.0000,154.1063
95.0000,119.5785
160.0000,144.3507
110.8000,144.3936
85.0000,97.4599
266.5000,224.4958
73.0000,95.9663
20.5000,186.2264
58.2000,114.8983
14.0000,96.5095
116.5000,130.0366
68.2000,126.9263
266.5000,195.2083
150.0000,155.7894
145.0000,133.7434
126.0000,169.8106
116.0000,101.8271
312.5000,191.3391
157.5000,133.6340
71.5000,74.7811
205.0000,190.2526
154.5000,94.8325
151.0000,135.4378
98.0000,133.5438
252.4000,211.8834
188.0000,161.6176
131.0000,92.1000
224.5000,162.2902
201.0000,127.4189
113.0000,268.3833
144.0000,233.1469
227.0000,175.1473
158.8000,176.1138
137.0000,158.2216
83.0000,133.7170
278.0000,274.6800
270.0000,184.0207
176.5000,164.3145
175.0000,187.9032
234.0000,129.9152
192.5000,166.4451
141.0000,188.0772
190.0000,103.1528
120.0000,107.7487
74.5000,135.6188
282.4000,209.8197
279.0000,176.4962
173.5000,172.1782
88.5000,100.5669
185.5000,151.8976
80.0000,91.5773
198.5000,211.1903
264.0000,107.8913
154.0000,145.6438
139.0000,159.2250
109.5000,156.5442
145.5000,145.4248
172.8000,180.7619
99.0000,126.3782
114.5000,101.8271
88.5000,95.9117
160.5000,94.4182
142.5000,141.7030
230.5000,192.1246
215.5000,166.9653
206.0000,142.7749
137.5000,130.9742
251.0000,187.5713
92.5000,102.7642
123.5000,144.6968
221.5000,168.3268
200.0000,227.9693
211.0000,140.1713
139.0000,154.0013
126.0000,139.2709
100.0000,88.4017
166.8000,135.5407
193.0000,105.5381
169.5000,190.3003
102.0000,117.2350
98.5000,137.5627
169.5000,184.2501
114.8000,84.0423
187.5000,225.1093
227.0000,182.3748
50.0000,95.8623
86.8000,135.7027
94.5000,129.3329
163.0000,152.6871
177.0000,188.1481
178.0000,133.7485
85.2000,105.0330
214.0000,176.0753
92.0000,120.0120
261.0000,179.9125
148.5000,182.5485
161.0000,161.0442
99.0000,228.9420
207.5000,136.2006
209.5000,152.7679
96.0000,87.0657
123.5000,127.5595
307.5000,161.6722
170.0000,182.1816
75.0000,108.7772
61.0000,119.5938
205.0000,173.5824
166.0000,169.3049
71.5000,95.4549
163.0000,125.0340
209.0000,164.8993
173.5000,158.2548
238.0000,239.6709
106.0000,141.0779
223.0000,179.7369
215.0000,114.2217
182.5000,106.4654
191.5000,94.9787
102.0000,124.7239
198.0000,370.2158
180.0000,127.3490
207.0000,164.6871
136.0000,163.9268
163.0000,209.3458
141.0000,154.3741
87.0000,121.6828
106.0000,142.3930
86.0000,135.3620
65.5000,137.7998
65.0000,152.1264
181.5000,173.4180
270.5000,129.5077
133.0000,161.1136
287.0000,179.6509
300.0000,86.9570
268.0000,264.8892
103.5000,102.6525
105.0000,215.7717
161.5000,160.7660
231.0000,168.4157
299.0000,193.0447
137.0000,152.3274
200.0000,206.8964
102.0000,155.5450
141.0000,143.7410
164.0000,146.2587
141.0000,149.2667
60.0000,126.5913
274.5000,222.0245
237.4000,194.9225
63.0000,106.6636
143.5000,169.7041
151.0000,161.0900
107.0000,106.6174
59.5000,102.1131
131.0000,159.4136
247.0000,232.1767
133.0000,172.9298
266.0000,196.6938
113.0000,140.6229
114.0000,114.0326
134.5000,184.2778
247.0000,239.9756
210.5000,216.6960
108.5000,110.3177
150.5000,155.4718
115.5000,108.2698
128.5000,172.1618
174.5000,160.6410
175.5000,199.7566
74.0000,108.8059
139.0000,129.3329
90.5000,118.9558
145.0000,172.7252
146.0000,106.9356
56.0000,117.1668
203.5000,201.9635
159.0000,153.4494
140.0000,150.3609
61.8000,123.6962
152.5000,169.4583
230.0000,218.3256
92.0000,145.2431
162.0000,115.0481
84.8000,139.5313
284.0000,206.0105
204.0000,185.2740
152.0000,167.3536
248.0000,247.2949
179.0000,170.1836
56.0000,111.1280
162.0000,151.3953
137.5000,160.3001
157.0000,118.1508
70.0000,175.4700
199.0000,241.3042
99.5000,142.1126
94.0000,96.7883
89.5000,97.1496
102.5000,122.2947
210.0000,132.3858
212.0000,162.2172
192.0000,160.5620
160.5000,160.4777
280.0000,214.5989
253.0000,143.8313
226.0000,210.2321
84.5000,161.8279
