Target, Prediction
63.5000,6.4875
170.5000,6.4195
84.5000,6.4543
114.5000,6.4865
120.0000,6.4544
180.0000,6.3469
141.0000,6.3987
218.0000,6.4311
178.0000,6.3812
246.5000,6.4645
114.2000,6.3890
58.0000,6.5204
147.0000,6.4409
117.5000,6.3839
168.5000,6.4027
108.5000,6.5213
193.0000,6.3706
105.2000,6.5178
255.0000,6.4868
129.0000,6.3554
276.0000,6.3554
156.5000,6.4140
137.0000,6.4129
238.0000,6.3554
90.0000,6.3379
114.5000,6.2651
137.0000,6.4097
107.0000,6.4907
274.0000,6.5038
140.0000,6.5248
148.0000,6.4688
131.0000,6.3633
212.0000,6.4430
204.8000,6.4862
104.0000,6.3712
206.0000,6.0191
77.5000,6.4177
133.5000,6.4232
125.0000,6.3170
114.5000,6.4967
224.0000,6.4941
220.5000,6.2865
58.2000,6.3499
257.0000,6.4594
83.5000,6.4138
77.5000,4.8821
171.5000,6.5111
96.0000,6.4187
133.0000,6.4660
145.5000,6.3554
215.5000,6.4331
213.0000,6.4119
215.0000,6.5068
224.0000,6.4256
230.0000,6.4626
262.0000,6.3554
112.0000,6.3700
200.0000,6.4896
163.0000,6.4485
82.5000,6.2289
279.0000,6.3554
110.5000,5.3481
232.0000,6.4560
125.6000,6.3815
188.5000,6.2776
178.5000,6.3554
161.0000,6.0888
118.5000,6.4943
178.0000,6.4341
194.0000,6.3597
177.0000,6.2699
144.5000,6.2627
101.5000,6.4995
219.5000,4.5080
44.5000,4.9068
155.7000,6.4567
91.0000,6.4101
206.0000,6.3569
221.5000,6.4676
146.5000,6.4680
103.5000,6.4751
90.5000,6.3638
185.0000,6.4130
261.0000,6.3554
80.0000,6.3554
176.0000,6.2035
121.0000,6.5364
239.5000,6.4196
163.0000,6.5524
195.5000,6.3716
127.5000,6.5579
145.5000,6.4265
219.0000,6.4634
141.0000,6.4685
83.5000,6.4389
102.5000,6.4402
219.0000,6.3935
152.0000,6.3823
169.5000,6.3554
102.0000,6.4357
88.6000,4.5858
149.0000,6.5049
267.5000,6.4759
193.0000,6.4530
155.0000,6.2882
71.5000,6.4844
111.0000,6.3554
360.0000,6.3554
71.5000,5.5997
220.0000,6.4489
118.2000,6.3407
166.0000,6.3073
154.2000,6.5010
127.0000,6.5349
173.5000,6.3992
204.5000,6.4539
158.2000,6.4552
127.0000,6.4523
115.8000,6.4140
168.5000,6.5009
196.0000,6.3668
142.0000,6.3612
191.5000,6.4833
90.5000,6.5209
266.0000,6.1875
151.5000,6.4319
154.0000,6.4774
166.0000,6.4237
179.5000,6.2573
239.0000,6.3554
56.0000,6.3552
111.5000,6.4957
142.5000,6.5348
160.5000,6.5085
144.5000,6.4675
57.0000,6.3040
196.0000,6.3554
130.0000,6.3892
190.0000,5.8549
163.0000,6.3019
138.0000,6.4553
118.0000,6.4593
287.0000,6.4472
216.7000,6.5235
186.0000,6.2506
243.5000,6.3554
209.0000,6.3872
104.0000,2.8916
69.0000,6.2539
194.0000,6.4672
80.0000,6.3903
237.0000,6.3554
190.0000,6.2766
120.5000,6.1886
190.5000,6.4118
188.0000,6.3414
137.5000,6.2565
184.0000,6.5414
48.0000,6.5032
81.0000,6.4975
160.5000,6.4609
85.0000,6.2486
107.0000,6.5376
110.5000,6.4601
176.0000,4.4103
217.0000,6.4735
153.0000,6.2565
147.0000,6.4288
144.5000,6.3554
74.8000,6.3716
119.0000,6.4893
229.0000,6.5625
