Target, Prediction
125.5000,176.4802
20.5000,202.5910
234.2000,215.1991
92.0000,108.0652
127.0000,167.4977
239.5000,226.0741
78.5000,141.0858
226.0000,221.7324
182.2000,151.1940
123.5000,125.7063
162.5000,89.4232
105.2000,113.8702
222.5000,209.5531
123.0000,107.0501
190.2000,188.4562
133.5000,92.8786
205.0000,155.5031
306.0000,251.8762
201.0000,207.9942
177.0000,151.5618
151.5000,64.9679
61.0000,57.4653
156.0000,182.5288
78.0000,61.1797
104.0000,116.3574
203.0000,168.5221
221.5000,221.6475
195.0000,127.4979
122.5000,146.1712
83.5000,120.6382
113.5000,120.1123
141.0000,160.4976
89.0000,117.5627
352.0000,220.9287
160.5000,184.2117
166.5000,177.1107
255.8000,151.5928
187.0000,164.9545
161.5000,168.1401
257.0000,164.7289
194.0000,162.5888
294.0000,321.5568
126.5000,137.8591
92.0000,62.0414
107.0000,153.1130
129.5000,86.7055
183.5000,106.8099
186.0000,169.1362
55.0000,89.7795
292.0000,135.0534
181.5000,159.6395
51.5000,72.9955
280.0000,116.8345
187.5000,208.8667
204.5000,226.9267
222.5000,206.6537
125.0000,188.2820
139.5000,124.1309
205.0000,179.4245
186.5000,323.7817
151.5000,119.5444
210.5000,175.3872
76.0000,121.8674
183.0000,169.8577
165.5000,183.4640
118.2000,99.6106
221.5000,204.2866
106.5000,117.7194
202.0000,210.0650
81.5000,143.4417
203.5000,162.8490
206.0000,193.4860
157.0000,206.7828
301.0000,244.9469
199.0000,222.6273
86.8000,124.3719
335.0000,154.9369
138.0000,166.8520
138.5000,178.3841
145.0000,180.2601
198.0000,74.5876
80.0000,96.0909
154.0000,137.2790
123.5000,126.6845
294.0000,254.5957
138.0000,142.4595
118.0000,107.5081
120.5000,89.0696
211.5000,161.0494
252.4000,169.5985
167.5000,159.2933
85.0000,95.6115
102.0000,100.3878
159.0000,168.6438
122.0000,174.3804
75.5000,128.7488
117.0000,143.2083
104.0000,100.5514
101.5000,123.9455
156.5000,121.3226
55.5000,78.1111
81.8000,160.9587
170.0000,189.1655
188.0000,152.2620
32.5000,73.0885
201.0000,194.2443
259.0000,157.1759
108.0000,120.6767
52.8000,77.7591
279.0000,157.2872
79.5000,145.1251
92.5000,83.6276
162.0000,183.6868
73.5000,167.4790
166.0000,167.4030
153.0000,190.2048
105.0000,111.9831
210.5000,191.2049
229.5000,251.1843
144.5000,152.2502
165.5000,180.4747
121.2000,162.7672
216.0000,174.5709
83.0000,136.2388
265.0000,248.8088
144.1000,200.3618
113.5000,120.2874
174.0000,122.3230
270.0000,214.9370
259.5000,212.4679
185.5000,216.9027
159.0000,106.3493
286.5000,175.4519
86.0000,88.0862
114.5000,101.6312
210.0000,141.8877
281.0000,169.8030
109.0000,132.6389
287.0000,226.1936
83.5000,158.7163
237.0000,162.1668
171.0000,156.8709
150.5000,109.2079
221.0000,234.2294
185.5000,144.4666
193.0000,222.2404
68.0000,132.3200
254.5000,202.7654
230.0000,133.9043
129.5000,146.2099
104.5000,108.2480
212.0000,199.2102
155.0000,170.1204
340.0000,281.9364
143.5000,189.5159
64.5000,53.7441
199.0000,147.6071
217.5000,177.5383
107.0000,104.1997
277.0000,142.5011
290.0000,288.6896
175.0000,184.3766
102.0000,112.9253
161.0000,186.1605
202.5000,123.6003
145.0000,158.6176
231.5000,93.9227
139.5000,200.6729
55.6000,97.2452
124.5000,126.8327
123.0000,113.7166
158.5000,165.3322
209.0000,224.8790
92.5000,90.7308
262.0000,253.6050
169.0000,80.9080
58.0000,71.0795
178.5000,160.5632
186.0000,192.8714
96.5000,117.8610
231.8000,162.7433
203.5000,163.9400
66.0000,51.8598
145.0000,111.8550
236.0000,196.8351
230.0000,266.1772
56.0000,85.7063
68.5000,90.2770
95.5000,173.7954
72.0000,104.8473
196.0000,155.3488
120.5000,157.0761
145.0000,169.0098
177.0000,199.5979
113.5000,130.7105
102.0000,148.5332
303.2000,132.7932
133.0000,122.3177
238.5000,134.7794
159.0000,126.4540
230.0000,288.3156
104.5000,131.2682
167.0000,154.0315
123.0000,141.6547
202.5000,215.3454
247.0000,277.9084
120.5000,152.1879
200.0000,355.2977
184.0000,167.9981
161.5000,163.3845
125.0000,119.9001
61.0000,89.7060
135.0000,88.7018
260.6000,222.7488
66.5000,121.5264
97.0000,127.2076
160.0000,155.6335
75.2000,108.8264
134.5000,150.5160
148.6000,164.7606
91.0000,109.1911
155.5000,152.7048
79.3000,90.7023
94.5000,119.0336
73.5000,96.1322
111.2000,94.8716
176.0000,137.3594
215.0000,169.8363
280.0000,154.2460
200.0000,214.8955
150.0000,187.9306
162.8000,136.2177
189.0000,160.0467
185.0000,167.2074
213.5000,179.1441
256.5000,201.8417
239.5000,177.1406
137.0000,149.7027
168.5000,189.0390
170.0000,270.4730
240.5000,140.3938
133.0000,152.3498
179.5000,151.1756
232.5000,219.9699
153.5000,132.1529
234.0000,153.2891
104.0000,103.5619
63.5000,92.5339
139.5000,162.8346
193.5000,232.9063
157.0000,242.2712
175.5000,165.9943
239.0000,88.9900
204.8000,180.9790
184.5000,177.4625
207.5000,120.6068
201.0000,169.3056
249.0000,160.9914
69.5000,97.8879
108.5000,103.6261
172.5000,165.1815
138.0000,176.8539
89.0000,96.4720
219.0000,213.1783
96.0000,112.3720
225.5000,216.1416
180.0000,189.3560
84.5000,148.2247
80.0000,83.5648
161.0000,139.7401
294.0000,288.2172
60.5000,135.0418
136.0000,81.5637
262.5000,152.7511
127.8000,78.1852
124.0000,150.9598
176.0000,199.4496
163.0000,221.7795
71.5000,121.0138
93.0000,154.5193
246.5000,170.1725
157.0000,152.3219
171.0000,172.5003
79.5000,119.9365
155.5000,183.8357
70.5000,121.5676
139.5000,111.5313
104.0000,151.8253
283.0000,262.0783
106.0000,114.1542
109.0000,156.2846
233.0000,165.6019
185.5000,204.9389
163.0000,112.6168
