smiles,solubility,logp
CCCC(=C)C,-3.030000,2.630000
CCCCCC(C)(C)O,-1.720000,2.390000
CCCCC(C)(C)O,-1.080000,1.950000
CCCC(C)(C)O,-0.490000,1.500000
CCC(O)C(C)C,-0.700000,1.660000
Cc1ccc2cc3ccccc3cc2c1,-6.960000,4.470000
CCC(C)(C)O,0.150000,1.060000
CCC(C)C,-3.180000,2.530000
CCC(C)CO,-0.470000,1.170000
CCCCCC(C)C,-5.080000,3.860000
Cc1ccc2ccccc2c1,-3.770000,3.480000
CCCC(C)C,-3.740000,2.970000
CCCC(C)CO,-1.110000,1.610000
Cc1ccc2c(ccc3ccccc32)c1,-5.840000,4.470000
Cc1ccccc1O,-0.620000,2.180000
CC(C)CO,0.100000,0.730000
CC(C)C,-2.550000,2.080000
CC(=C)C,-2.330000,1.740000
Cc2ncc1nccnc1n2,-0.120000,0.250000
CC1CCCO1,0.110000,0.950000
Oc1ccc2ccccc2c1,-2.280000,2.660000
CC(C)N(=O)=O,-0.620000,0.790000
CCCCCCCC(C)O,-2.740000,3.000000
CCCCCCCC(=O)C,-2.580000,3.030000
CCCCCCC(C)O,-2.090000,2.560000
CCCCCCC(=O)C,-2.050000,2.590000
CCCC(C)O,-0.290000,1.220000
CCCC(=O)C,-0.190000,1.250000
OCCOc1ccccc1,-0.700000,1.130000
CC(C)O,0.430000,0.250000
O=C1CCCN1,1.070000,-0.580000
CCCCCCCCCC(C)O,-2.940000,3.890000
CC(C)(C)CCO,-0.500000,1.390000
CC(O)C(C)(C)C,-0.620000,1.520000
CC(=O)C(C)(C)C,-0.720000,1.910000
CCC(C)(C)CC,-4.230000,3.270000
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.200000,3.120000
Oc1ccc(Cl)c(Cl)c1,-1.250000,2.880000
Cc1ccc(O)cc1C,-1.380000,2.700000
Cc1ccncc1C,0.360000,1.780000
Clc1ccc(cc1Cl)c2ccccc2,-6.390000,4.830000
Oc1cc(Cl)cc(Cl)c1,-1.340000,2.880000
Cc1cc(C)cc(O)c1,-1.400000,2.700000
Cc1cncc(C)c1,0.380000,1.780000
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071000,3.380000
COc1cccc(Cl)c1,-2.780000,2.420000
c1c(Cl)cccc1c2ccccc2,-4.880000,4.220000
Oc1cccc(Cl)c1,-0.700000,2.270000
ClCCC#N,-0.290000,0.610000
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.470000,2.230000
CCC(O)(CC)CC,-0.850000,2.100000
CCCCC(O)CC,-1.470000,2.190000
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301000,4.710000
CCCC(O)CC,-0.800000,1.740000
