# Prediction, Target
-0.3211,0.6200
-5.8999,-5.8400
-6.5903,-11.6000
-5.5286,-9.1600
-6.8845,-8.0100
-6.5985,-9.1500
-6.3427,-8.6000
-6.1950,-7.2800
-7.2257,-7.9200
-6.8823,-8.9400
-6.7904,-7.6800
-6.3521,-7.2100
-6.9774,-7.4300
-6.7568,-7.4200
-6.5656,-6.4700
-1.5922,-4.3600
-6.2712,-8.5600
-6.7588,-8.7100
-6.8529,-6.5700
-6.7033,-7.3200
-1.7188,-4.7400
-2.1020,-5.0500
-6.1497,-7.3900
-1.3795,-1.0400
-1.6176,-3.5500
-1.9836,-4.3600
-1.8351,-1.5200
-0.9207,-0.4000
-6.0025,-5.2700
-6.7243,-7.8200
-6.9349,-7.6600
-7.1366,-7.3900
-6.9253,-7.8000
-6.5292,-7.9200
-6.4935,-7.2500
-3.7488,-3.1500
-3.7469,-3.1000
-6.7515,-6.2900
-6.7515,-6.2600
-2.5338,-2.6700
-1.4328,-4.8000
-4.1745,-3.3700
-5.7498,-6.0100
-3.1701,-2.6700
-3.1850,-2.6400
-2.1638,-3.4800
-1.8659,-1.3000
-1.4109,-2.4000
-0.9763,-3.6500
-3.9366,-4.7200
-1.3619,-4.2800
-2.0925,0.3800
-6.7364,-6.2700
-6.7364,-6.2500
-3.2252,-2.2100
-6.7234,-6.1400
-2.7801,-2.3400
-2.2839,-2.0500
-0.9830,-3.2200
-1.9830,-1.5500
-1.1033,-0.9200
-0.5400,-1.2200
-0.8290,-1.3000
-1.1261,-4.2600
-2.0535,-1.1900
-1.8781,0.3800
-1.4888,-2.8200
-6.0135,-5.2800
-6.0135,-5.2500
-2.2374,-1.7900
-3.4607,-4.8900
-2.1574,-1.2900
-2.0685,0.4500
-1.3814,-3.0000
-6.2589,-5.2100
-3.1353,-1.9400
-3.6587,-5.1700
-3.8152,-4.4000
-4.0933,-4.4000
-0.7971,-1.5900
-2.7850,-2.2300
-0.4119,0.5200
-0.5390,0.3200
-1.6657,-0.4200
-1.8150,-2.5100
-2.2456,-2.4600
-5.3511,-4.5400
-1.1850,-1.9600
-4.1201,-4.1400
-1.2977,-1.0600
-0.7587,-1.4100
-2.6948,-3.5200
-0.5490,-0.3100
-3.5774,-3.3000
-2.0240,0.5100
-1.0789,-1.1700
-2.3702,-2.1100
-2.2305,-2.4600
-0.8957,-1.5200
-2.3391,-2.1300
-3.8832,-4.2900
-2.7599,-3.2100
-1.8415,-1.5500
-2.1069,-1.4500
-1.2511,-0.8900
-1.4702,-0.8000
-1.4160,-1.9470
-0.7708,1.0200
-0.7714,-2.0900
-2.6651,-3.7600
-1.7214,-1.1100
-1.1824,-2.5600
-1.0548,-2.0300
-1.3721,-2.7300
