# Prediction, Target
-3.9525,-4.3500
0.0002,0.3200
-1.8950,-3.0500
-4.6568,-3.7960
-3.3633,-3.3300
-0.3626,-0.2200
-0.9484,-0.1200
-2.4348,-1.8500
-2.9828,-2.4800
-2.4976,-2.5900
0.0464,0.7000
-3.8682,-4.4700
-3.4335,-2.3500
-0.6526,-1.3600
-2.8729,-3.1900
-5.8892,-5.2400
0.0464,0.4700
0.0464,-0.4000
-10.2521,-8.9400
-6.3872,-7.0000
-5.5938,-5.4100
-2.3564,-4.0470
-2.6285,-1.4000
-7.0540,-5.2590
0.0464,-0.2900
-0.2522,1.1000
-1.3225,-1.6400
-3.6100,-3.3600
-2.6103,-3.5100
-1.0367,-0.6600
-2.9084,-2.7300
-4.4271,-4.7100
-4.4280,-5.6700
-3.6233,-4.0000
-1.4386,-1.5500
-6.3475,-4.4200
-3.3598,-1.7400
-3.0929,-3.2000
-5.2738,-6.1400
-2.5628,-3.1900
-1.6862,-2.0900
-3.2035,-2.2530
-3.6194,0.5100
-1.1713,-1.8770
-5.2692,-4.3760
-1.8401,-0.7400
-7.1775,-8.6990
-2.5886,-2.6580
-1.1122,-0.6300
-7.8269,-7.4300
-2.5874,-1.2800
-1.6670,-4.1600
-1.0353,-2.5500
-2.7366,-2.2100
-3.2563,-4.5900
-1.7855,0.6100
-1.8921,-2.4200
-9.2571,-8.4020
-0.8621,-4.6320
-4.3894,-4.1100
-1.9981,-2.7700
-5.9005,-4.4600
-4.8305,-3.5350
-4.1521,-3.6380
-3.0643,-2.5800
-4.4964,-5.2100
-2.6959,-2.9280
0.0464,-2.1500
-0.7836,-2.8200
-6.2376,-3.9000
-8.3327,-5.1150
-5.0526,-3.1200
-5.3500,-5.2200
-7.5976,-5.4700
-2.3055,-1.5000
-3.8583,-3.6600
-6.8477,-7.2000
-3.6539,-1.9400
-1.7001,-0.9100
-0.0936,-1.9500
-1.7842,-1.0300
-1.5651,-2.2100
-3.3557,-4.8620
-1.4218,-2.6400
-3.8373,-4.4000
-0.6067,-0.3900
-1.9524,-4.0600
-0.5577,-2.5500
-2.5478,-3.1400
-1.0041,-2.3700
-3.4728,-2.5180
-1.7059,-1.7300
-2.2488,-1.3000
-2.3510,-1.9200
-1.9303,-1.6200
-5.5873,-6.0900
-7.5804,-6.7800
-3.4196,-2.8780
-2.6013,-1.4500
-3.4119,-4.1400
-1.2300,-0.2200
-5.7513,-6.5900
-1.4901,-3.7400
-4.2146,-3.2100
-3.2235,-3.6100
-9.9493,-9.1600
-3.1813,-2.9400
-6.4210,-4.3000
-3.5409,-3.5900
-3.6100,-2.9000
-3.3267,-3.4300
-3.9046,-4.2100
-0.4677,-1.0100
-3.1283,-3.0940
