# Prediction, Target
-1.1210,0.3000
-2.2172,-2.3600
0.2987,-7.3210
-0.8435,-4.0990
-1.9379,-1.6600
-3.2104,-3.7800
-4.6012,-3.3900
-4.4274,-3.5900
-3.1636,-4.1940
-1.0262,-3.4200
-4.2912,-2.6200
-1.5858,0.1100
-1.3326,-3.1800
-6.8888,-7.2500
-5.8527,-3.1710
-2.6431,-2.7700
-12.2911,-4.7100
-2.8648,-2.3200
-1.3476,-2.5500
-2.3361,-1.9200
-1.0797,0.1500
-8.0308,-8.9400
-0.5912,-1.8000
-1.3326,-2.0600
-0.3266,0.7900
-2.1714,-3.7300
-2.2946,-4.7400
-1.5158,-2.4000
-1.8588,-1.9900
-2.9580,-5.3500
-1.9379,-1.3700
-0.9431,-1.7500
-1.3058,-1.4700
-10.6644,-7.3200
-2.2432,-3.0800
-0.8833,0.0000
-1.6813,-1.5200
-1.6673,-4.5700
-2.2298,-2.3400
-0.3944,-0.7400
-1.9560,-3.7960
-1.6083,0.3800
-3.3694,-3.0500
-4.3311,-4.6300
-1.6352,-1.6200
-0.6438,-0.8000
-1.0321,-0.7300
-7.9366,-4.4000
-0.5995,-0.1800
-2.5263,-5.0600
-1.0651,-1.0900
-6.3198,-3.8100
-3.7307,-2.0900
-1.7391,-0.2900
-0.4700,1.5800
-3.1688,-8.4000
-2.0871,-3.3100
-4.9437,-3.3500
-1.8588,-2.2200
-2.4786,-2.6700
-4.8835,-3.5700
-1.4048,-2.3900
-1.5137,-2.1200
-1.6083,-2.7700
-1.7914,-0.2200
-3.6643,-2.9400
-1.2619,1.0700
-10.3067,-6.2900
-2.8372,-1.6000
-7.1102,-6.6800
-0.3112,0.4600
-2.2946,-3.3700
-1.5858,-3.2700
-7.9352,-4.1000
-6.0508,-6.2500
-3.3053,-0.9100
-2.7272,-0.6000
-3.0936,-2.9320
-3.4093,-3.5500
-1.0321,-0.9600
-14.6331,-6.1440
-5.2425,-3.7850
-5.6720,-4.1200
-4.8400,-6.0200
-2.6859,-2.1000
-2.4786,-2.3400
-3.9008,-2.1900
-3.7926,-3.1270
-5.0386,-5.2700
-2.5167,-3.5200
-6.3042,-7.9200
-3.5929,-3.1900
-2.9081,-3.5040
-3.7370,-4.4000
-1.3326,-3.1000
-2.4453,-2.7800
-1.6083,0.3800
-1.1176,-0.2900
-5.5243,-4.0700
-1.3459,-1.7080
-0.5442,-2.6920
-1.4612,-0.7700
-1.0321,-0.6670
-4.8909,-3.3800
-2.9622,-5.7200
-2.3846,-4.9550
-1.0321,-0.6200
-13.6586,-4.6300
-3.8003,-3.3500
-6.0508,-6.2700
-3.3717,-4.3800
-4.4274,-4.0000
-2.8372,-3.6000
-7.6637,-5.2330
